# Here you find just the coordinates of the particles.
# Look into dda_SimAgg.dat for general simulation data an aggregate data

# Date:	 2025-04-04 11:00
# ID	AGG	Type	ID_i_Agg	r (m),x (m),y (m),z (m)
1	0	1	0	6.217966007423361751e-09	4.509343771912357113e-07	-1.904490262928231564e-07	2.719464140902186555e-07
2	0	1	1	3.751446473396213858e-09	4.470119842080703358e-07	-1.838436762680570800e-07	2.783160488763166539e-07
3	0	1	2	2.643942367103107494e-09	4.491030420151816775e-07	-1.991439542200458106e-07	2.715355336870424032e-07
4	0	1	3	3.394497551107325032e-09	4.467344740291247059e-07	-1.988682587400632348e-07	2.659375828054825678e-07
5	0	1	4	2.518258390466556760e-09	4.408038406305709079e-07	-1.837076456520911490e-07	2.795444416840010119e-07
6	0	1	5	2.748966919200720810e-09	4.489236673263295941e-07	-1.991959776147528244e-07	2.601539737080734032e-07
7	0	1	6	2.893738687735388898e-09	4.442544538874618077e-07	-2.032544458427952160e-07	2.620762765004721356e-07
8	0	1	7	4.522353789338282321e-09	4.371673152129476737e-07	-1.798880170589050647e-07	2.842667698950992839e-07
9	0	1	8	4.683715208449501224e-09	4.412484001274512775e-07	-1.718661614021609601e-07	2.862456262060765790e-07
10	0	1	9	1.584620818884954937e-09	4.457992146805149412e-07	-1.680384703595448627e-07	2.842294595638296462e-07
11	0	1	10	2.905727766869641520e-09	4.351970170566528570e-07	-1.865890287513139623e-07	2.868172944943510343e-07
12	0	1	11	2.405757033427699537e-09	4.445266351880852477e-07	-1.646357539386753443e-07	2.825680360044378614e-07
13	0	1	12	4.125614335722711590e-09	4.345293879149853850e-07	-1.895150735960792800e-07	2.804431518763870168e-07
14	0	2	13	5.481571491142137844e-09	4.189930190786443237e-07	-1.740012068943327265e-07	2.777440144836119259e-07
15	0	2	14	3.568521470040960465e-09	4.267900706514649656e-07	-1.701057009234056183e-07	2.802136486420848461e-07
16	0	2	15	4.511594284002486449e-09	4.294884615535586814e-07	-1.777306600196416378e-07	2.799766051522547177e-07
17	0	2	16	3.871542898787904689e-09	4.138829523581778466e-07	-1.702955770222041805e-07	2.847252500958294535e-07
18	0	2	17	6.184045964061598003e-09	4.160495919791242631e-07	-1.615443575976474474e-07	2.801488094494285331e-07
19	0	2	18	4.578841560013017135e-09	4.101919529710591998e-07	-1.610216605743470830e-07	2.710951170526008064e-07
20	0	2	19	3.458453594830395066e-09	4.033892541671456019e-07	-1.769560465056589706e-07	2.717056938212883694e-07
21	0	2	20	2.728476223334527369e-09	4.032916355260334091e-07	-1.710121306996339858e-07	2.734420781525762692e-07
22	0	2	21	4.500323437131633401e-09	3.971408550349887068e-07	-1.671935146488200299e-07	2.736310112009032553e-07
23	0	2	22	3.984297430294160637e-09	4.101938659512185162e-07	-1.758017509076591133e-07	2.745234762202482685e-07
24	0	2	23	4.846105099743538873e-09	4.113709743134934548e-07	-1.800571539318215356e-07	2.668040663995607003e-07
25	0	2	24	3.921102868697534021e-09	4.018441549230513859e-07	-1.621113813236119225e-07	2.785328321912504536e-07
26	0	2	25	4.277348406406696058e-09	3.858980303129912557e-07	-1.769752197424635090e-07	2.641391402392542352e-07
27	0	2	26	4.742728785491400379e-09	3.906920120720319524e-07	-1.805924935999882394e-07	2.573969101758152173e-07
28	0	2	27	3.838557861311967190e-09	3.882264248523185134e-07	-1.888366735289666927e-07	2.578721275019050901e-07
29	0	2	28	2.815991156624683834e-09	3.861912185555937556e-07	-1.785809109095491343e-07	2.710838422032176333e-07
30	0	2	29	5.167592411992006551e-09	3.998578653567597089e-07	-1.802719170808061006e-07	2.534157813492524866e-07
31	0	2	30	4.535872441537540249e-09	4.068198701058378165e-07	-1.767507863019376097e-07	2.592579862771328816e-07
32	1	2	0	6.217966007423361751e-09	5.599348115924204485e-07	3.686770345189283070e-07	5.574416253338146911e-07
33	1	2	1	3.751446473396213858e-09	5.514114287430980648e-07	3.731089863529387353e-07	5.601430713757004129e-07
34	1	2	2	2.643942367103107494e-09	5.656030381840011173e-07	3.717119804553989199e-07	5.512568134879554125e-07
35	1	2	3	3.394497551107325032e-09	5.621073130595097184e-07	3.719766452908421352e-07	5.462777008472797118e-07
36	1	2	4	2.518258390466556760e-09	5.508005528151757993e-07	3.792655895536394956e-07	5.614415620933440152e-07
37	1	2	5	2.748966919200720810e-09	5.460762599955939621e-07	3.768690786389238902e-07	5.612314230086135613e-07
38	1	2	6	2.893738687735388898e-09	5.435338386975846740e-07	3.726817447021325027e-07	5.641322941716106417e-07
39	1	2	7	4.522353789338282321e-09	5.741700644887104617e-07	3.757749886763826729e-07	5.613419239601822124e-07
40	1	2	8	4.683715208449501224e-09	5.818229615719956836e-07	3.785736415585759899e-07	5.570382043092111909e-07
41	1	2	9	1.584620818884954937e-09	5.851431435008677639e-07	3.838375149650073881e-07	5.559581349954022202e-07
42	1	2	10	2.905727766869641520e-09	5.669116468406222056e-07	3.742487034902590828e-07	5.606630628260847992e-07
43	1	2	11	2.405757033427699537e-09	5.664430840599404972e-07	3.695167007902279364e-07	5.631423127387140774e-07
44	1	2	12	4.125614335722711590e-09	5.900996684459465778e-07	3.830609033949405833e-07	5.587001174005016828e-07
45	1	1	13	5.481571491142137844e-09	5.845814302226102741e-07	3.965767471804786603e-07	5.592892147024589633e-07
46	1	1	14	3.568521470040960465e-09	5.840851117614653987e-07	3.876193468858219040e-07	5.605488657739308132e-07
47	1	1	15	4.511594284002486449e-09	5.928342848415988316e-07	3.958678367202908735e-07	5.650380766295497650e-07
